bairro,area,quartos,banheiros,vagas,hospital,gas_station,school,supermarket,restaurant,pharmacy,preco
Vila Passos,70,2,1,1,1,1,1,1,1,1,260000
Cidade Industrial,137,3,1,2,1,1,1,1,1,1,300000
Santo Antônio,142,3,1,3,1,0,1,1,1,1,370000
Loteamento Jardim Primavera,55,2,1,1,0,0,1,1,1,1,180000
Vila Geny,72,2,1,2,1,1,1,1,1,1,320000
Loteamento Jardim Primavera,55,2,1,1,0,0,1,1,1,1,180000
Bairro da Cruz,73,2,2,1,1,1,1,1,1,1,499000
Nova Lorena,87,2,1,2,1,1,1,1,1,1,320000
Parque das Rodovias,55,2,1,2,1,1,1,1,1,0,270000
Vila Nunes,121,2,1,2,1,1,1,1,1,1,340000
Cidade Industrial,59,2,1,2,1,1,1,1,1,1,235000
Cidade Industrial,130,3,3,2,1,1,1,1,1,1,400000
Vila Geny,100,3,2,2,1,1,1,1,1,1,300000
Cidade Industrial,164,3,2,3,1,1,1,1,1,1,420000
Cidade Industrial,125,2,2,2,1,1,1,1,1,1,470000
Bairro da Cruz,62,2,1,1,1,1,1,1,1,1,187000
Loteamento Jardim Primavera,10,2,1,2,0,0,1,1,1,1,250000
Centro,55,2,1,1,1,1,1,1,1,1,220000
Bairro da Cruz,70,2,2,1,1,1,1,1,1,1,320000
Vila dos Comerciários I,141,3,2,1,1,0,1,1,1,0,300000
Bairro da Cruz,73,2,2,0,1,1,1,1,1,1,429000
Olaria,55,2,1,1,1,1,1,1,1,1,240000
Vila Passos,100,2,1,2,1,1,1,1,1,1,280000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,269000
Cidade Industrial,84,2,1,1,1,1,1,1,1,1,250000
Vila Santa Edwiges,147,2,1,2,1,1,1,1,1,1,350000
Cidade Industrial,180,2,1,2,1,1,1,1,1,1,430000
Residencial Vila Rica,157,2,1,2,1,0,1,1,1,1,345000
Olaria,75,2,1,2,1,1,1,1,1,1,320000
Santo Antônio,153,3,2,2,1,0,1,1,1,1,550000
Centro,250,3,2,1,1,1,1,1,1,1,349000
Bairro da Cruz,150,0,0,0,1,1,1,1,1,1,180000
