bairro,school,hospital,gas_station,supermarket,restaurant,pharmacy
Centro,1,1,1,1,1,1
Vila Nunes,1,1,1,1,1,1
Vila São Roque,1,1,1,1,1,1
Santo Antônio,1,1,0,1,1,1
Bairro da Cruz,1,1,1,1,1,1
Parque das Rodovias,1,1,1,1,1,0
Cidade Industrial,1,1,1,1,1,1
Residencial Vila Rica,1,1,0,1,1,1
Loteamento Jardim Primavera,1,0,0,1,1,1
Vila dos Comerciários I,1,1,0,1,1,0
Parque Mondesir,1,1,1,1,1,0
Ponte Nova,1,1,0,0,1,0
Vila Passos,1,1,1,1,1,1
Jardim Novo Horizonte,1,1,1,1,1,0
Vila Hepacare,1,1,1,1,1,1
Vila Brito,1,1,1,1,1,0
Nova Lorena,1,1,1,1,1,1
Aterrado,1,1,0,1,1,1
Cabelinha,1,1,1,1,1,1
Vila Geny,1,1,1,1,1,1
Olaria,1,1,1,1,1,1
Portal das Palmeiras,1,1,1,1,1,0
Vila Santa Edwiges,1,1,1,1,1,1
Vila Portugal,0,0,0,0,1,0
Loteamento Village das Palmeiras,1,1,1,1,1,1
Jardim Margarida,1,1,1,1,1,1
Parque do Taboão,0,0,0,0,0,0
Loteamento Colinas de Lorena,1,1,1,1,1,1
Cecap,1,1,0,1,1,0
