iter	RMSE
0	129903.6842
1	127643.5284
2	125578.7704
3	124161.6614
4	122340.782
5	120495.7699
6	118621.5644
7	116919.2733
8	115180.3857
9	113777.6178
10	112245.894
11	110776.9934
12	109476.2062
13	108149.2493
14	106836.6785
15	105691.3818
16	104542.6669
17	103457.3602
18	102186.5665
19	101003.2371
20	99849.11524
21	98837.97076
22	97843.79854
23	96939.54473
24	96143.6573
25	95126.85159
26	94149.63345
27	93393.85508
28	92498.56353
29	91531.50567
30	90771.73936
31	89881.1249
32	89329.68745
33	88470.0516
34	88039.27095
35	87249.40066
36	86598.05117
37	85930.41939
38	85364.04477
39	84686.50951
40	84083.21657
41	83648.03002
42	83263.13942
43	82756.08007
44	82157.29633
45	81598.45864
46	81077.132
47	80617.40991
48	80111.83249
49	79926.91936
50	79452.33346
51	79014.38711
52	78579.56884
53	78118.30665
54	77773.59554
55	77359.70754
56	77031.19371
57	76681.07681
58	76397.99838
59	76065.01825
60	75754.26226
61	75457.24066
62	75204.6084
63	74855.26999
64	74614.31995
65	74297.99005
66	74064.48929
67	73898.55552
68	73629.579
69	73579.7403
70	73288.10646
71	73074.98783
72	72839.40102
73	72534.3477
74	72282.84583
75	72089.33341
76	71922.40198
77	71800.23896
78	71637.68534
79	71477.40792
80	71331.49596
81	71167.94489
82	71006.67424
83	70747.11044
84	70544.09211
85	70398.95623
86	70208.24955
87	70062.15771
88	69874.96962
89	69657.86464
90	69434.09314
91	69245.42926
92	69020.11358
93	68822.64679
94	68632.34561
95	68598.97847
96	68455.56129
97	68347.33151
98	68259.23388
99	68117.34611
100	67966.8894
101	67835.72231
102	67733.58367
103	67573.50893
104	67489.1172
105	67373.55345
106	67244.90611
107	67078.24472
108	66961.69701
109	66867.56826
110	66731.49368
111	66662.83994
112	66502.57765
113	66324.98646
114	66165.87458
115	66050.8675
116	65947.50192
117	65840.99513
118	65699.25451
119	65588.28639
120	65490.35166
121	65406.11465
122	65380.74856
123	65206.0653
124	65057.16594
125	64969.6441
126	64868.45756
127	64791.34289
128	64736.20789
129	64616.09382
130	64563.20151
131	64533.33382
132	64430.0139
133	64368.99894
134	64289.3205
135	64236.37084
136	64137.16695
137	64088.40207
138	64035.01927
139	63873.81144
140	63843.23051
141	63745.25462
142	63655.53274
143	63537.44012
144	63438.06454
145	63302.59374
146	63239.42336
147	63099.57217
148	63038.60148
149	63017.0224
150	62969.34515
151	62915.48602
152	62838.58645
153	62762.344
154	62685.16505
155	62611.82779
156	62527.62617
157	62438.11326
158	62367.77622
159	62246.1248
160	62129.24958
161	62063.60178
162	61945.45052
163	61864.6865
164	61796.12704
165	61708.34666
166	61644.80384
167	61557.79076
168	61480.03887
169	61400.35145
170	61327.07883
171	61245.87719
172	61121.02509
173	61040.05849
174	60942.98682
175	60869.52757
176	60800.94581
177	60604.89454
178	60546.83121
179	60440.07448
180	60362.60814
181	60257.16722
182	60185.02506
183	60119.58895
184	60056.79209
185	60019.43603
186	59918.95466
187	59839.79918
188	59762.30402
189	59683.76728
190	59611.76896
191	59500.96721
192	59460.43838
193	59365.04847
194	59276.00702
195	59212.47991
196	59099.04041
197	59003.67492
198	58915.32455
199	58770.32046
200	58638.46011
201	58524.11207
202	58478.97277
203	58384.68311
204	58295.85427
205	58264.28319
206	58174.9548
207	58099.15193
208	58018.24246
209	57913.76257
210	57860.50336
211	57732.59099
212	57648.42395
213	57563.19325
214	57489.32429
215	57433.01813
216	57334.48518
217	57258.83613
218	57198.99566
219	57119.78821
220	57051.70216
221	56929.3706
222	56903.78294
223	56821.94753
224	56732.31526
225	56644.87708
226	56558.95994
227	56534.21043
228	56486.65729
229	56466.27718
230	56414.16885
231	56356.90298
232	56301.89803
233	56269.34681
234	56223.76444
235	56024.21563
236	55917.21538
237	55851.09608
238	55742.03235
239	55664.56893
240	55626.14477
241	55528.38143
242	55413.30903
243	55365.75243
244	55301.95893
245	55290.36682
246	55228.18197
247	55139.81782
248	55040.9012
249	54985.72831
250	54915.9852
251	54876.23028
252	54819.26965
253	54749.29082
254	54709.66498
255	54619.89953
256	54549.16677
257	54467.45189
258	54394.40019
259	54361.46986
260	54319.99634
261	54278.75183
262	54164.40109
263	54118.45625
264	54087.81686
265	53954.72917
266	53863.30494
267	53831.22871
268	53829.16434
269	53700.37842
270	53666.82302
271	53600.77741
272	53542.14098
273	53502.20638
274	53474.12524
275	53392.62963
276	53389.40119
277	53347.69574
278	53344.69926
279	53292.05295
280	53187.68842
281	53118.27464
282	53089.1349
283	53046.60904
284	53011.20271
285	53006.36403
286	52897.23881
287	52822.5502
288	52745.75041
289	52706.71774
290	52691.45568
291	52687.02102
292	52654.57863
293	52590.82463
294	52582.62374
295	52529.36492
296	52491.21197
297	52434.76402
298	52430.27146
299	52426.63042
300	52339.47859
301	52213.92058
302	52210.65812
303	52172.11671
304	52134.64932
305	52130.33269
306	52097.28805
307	52030.31009
308	51997.87205
309	51946.0108
310	51942.58205
311	51910.87272
312	51850.97573
313	51848.88341
314	51846.73807
315	51845.16482
316	51823.02867
317	51772.12647
318	51697.60194
319	51695.52034
320	51631.34038
321	51606.47072
322	51585.30865
323	51493.32066
324	51485.10105
325	51399.72523
326	51358.38322
327	51294.78667
328	51234.65717
329	51152.17053
330	51045.18794
331	51019.92763
332	50986.88101
333	50914.55512
334	50910.81874
335	50860.27061
336	50777.09763
337	50775.26055
338	50772.97888
339	50747.89017
340	50745.63626
341	50717.5062
342	50614.93406
343	50523.89046
344	50517.10157
345	50464.70989
346	50455.69805
347	50410.9848
348	50379.17461
349	50376.25722
350	50304.01006
351	50281.95097
352	50238.93816
353	50134.22909
354	50090.31294
355	50088.83664
356	50081.0692
357	50044.17365
358	50041.51432
359	50007.83477
360	49934.23961
361	49931.62555
362	49926.1408
363	49890.82561
364	49857.71276
365	49791.11309
366	49682.35282
367	49609.92528
368	49577.20085
369	49536.58496
370	49473.55061
371	49371.83285
372	49332.58978
373	49284.8957
374	49246.82727
375	49193.81709
376	49137.98658
377	49081.48046
378	49021.82011
379	49019.69004
380	48986.75902
381	48906.15621
382	48886.72563
383	48841.28204
384	48822.92716
385	48771.28819
386	48742.85141
387	48710.74069
388	48708.83812
389	48642.92969
390	48567.93413
391	48565.23693
392	48525.28013
393	48435.45547
394	48406.31937
395	48404.04136
