iter	Passed	Remaining
0	0	418
1	0	378
2	1	360
3	1	316
4	1	317
5	1	317
6	2	329
7	2	333
8	3	336
9	3	342
10	3	340
11	4	339
12	4	337
13	4	336
14	5	334
15	5	332
16	5	331
17	6	330
18	6	329
19	6	329
20	7	327
21	7	330
22	7	338
23	8	338
24	8	337
25	9	339
26	9	340
27	9	340
28	10	339
29	10	338
30	10	337
31	11	336
32	11	332
33	11	331
34	11	330
35	12	329
36	12	328
37	12	327
38	13	327
39	13	326
40	13	325
41	14	324
42	14	322
43	14	321
44	15	320
45	15	321
46	15	320
47	16	320
48	16	319
49	16	315
50	16	315
51	17	314
52	17	315
53	17	315
54	18	314
55	18	314
56	18	313
57	19	313
58	19	312
59	19	312
60	20	311
61	20	311
62	20	310
63	21	310
64	22	319
65	22	318
66	22	318
67	23	315
68	23	315
69	23	311
70	23	311
71	24	310
72	24	309
73	24	308
74	25	308
75	25	307
76	25	307
77	25	306
78	26	305
79	26	305
80	26	304
81	27	304
82	27	303
83	27	303
84	28	303
85	28	303
86	29	305
87	29	305
88	29	306
89	30	306
90	30	305
91	30	305
92	31	304
93	31	304
94	31	303
95	32	301
96	32	301
97	32	300
98	33	300
99	33	300
100	33	299
101	43	382
102	44	385
103	45	389
104	46	398
105	47	397
106	47	397
107	48	396
108	48	396
109	49	403
110	50	402
111	50	401
112	51	400
113	52	408
114	52	407
115	53	406
116	53	404
117	53	403
118	54	401
119	54	400
120	54	398
121	55	397
122	55	395
123	55	394
124	56	393
125	56	391
126	56	390
127	57	389
128	57	387
129	57	386
130	58	385
131	58	383
132	58	382
133	59	381
134	59	380
135	59	379
136	59	377
137	60	375
138	60	374
139	60	373
140	61	372
141	61	371
142	61	370
143	62	369
144	62	368
145	62	368
146	63	368
147	63	367
148	64	367
149	64	365
150	64	365
151	65	364
152	65	363
153	66	363
154	66	362
155	66	362
156	67	361
157	67	361
158	68	360
159	68	361
160	69	361
161	69	360
162	70	360
163	70	359
164	70	359
165	71	358
166	71	358
167	72	357
168	72	356
169	73	356
170	73	356
171	73	355
172	74	355
173	74	355
174	75	354
175	75	354
176	76	353
177	76	352
178	76	352
179	77	352
180	77	351
181	78	351
182	78	350
183	78	350
184	79	349
185	79	348
186	80	347
187	80	347
188	80	346
189	81	346
190	81	345
191	81	345
192	82	344
193	82	343
194	83	343
195	83	342
196	83	341
197	84	341
198	84	340
199	85	340
200	85	339
201	85	339
202	86	338
203	86	337
204	86	337
205	87	336
206	87	336
207	88	335
208	88	335
209	88	334
210	89	334
211	90	334
212	90	334
213	90	333
214	91	333
215	91	332
216	92	332
217	92	331
218	92	331
219	93	330
220	93	330
221	94	329
222	94	329
223	94	328
224	95	328
225	95	327
226	96	327
227	96	326
228	96	326
229	97	326
230	97	325
231	98	325
232	98	324
233	98	324
234	99	323
235	99	322
236	100	322
237	100	321
238	100	321
239	101	320
240	101	320
241	102	319
242	102	319
243	102	318
244	103	318
245	103	318
246	104	317
247	104	317
248	104	316
249	105	316
250	105	315
251	106	315
252	106	314
253	106	314
254	107	313
255	107	313
256	108	312
257	108	312
258	108	311
259	109	311
260	109	310
261	110	310
262	110	309
263	110	309
264	111	308
265	111	308
266	112	307
267	112	307
268	112	306
269	113	305
270	113	305
271	113	305
272	114	304
273	114	304
274	115	303
275	115	303
276	116	302
277	116	302
278	116	301
279	117	301
280	117	301
281	118	300
282	118	300
283	119	300
284	120	301
285	120	301
286	121	300
287	121	300
288	121	299
289	122	299
290	122	298
291	122	298
292	123	297
293	123	297
294	124	296
295	124	296
296	124	295
297	125	295
298	125	295
299	126	294
300	126	294
301	127	293
302	127	293
303	127	292
304	128	292
305	128	291
306	129	291
307	129	290
308	129	290
309	130	290
310	130	289
311	131	289
312	131	288
313	131	288
314	132	288
315	132	287
316	133	286
317	133	286
318	134	287
319	135	287
320	135	286
321	136	286
322	136	286
323	137	285
324	137	285
325	138	285
326	138	284
327	138	284
328	139	284
329	139	284
330	140	283
331	140	283
332	141	283
333	142	283
334	142	283
335	143	282
336	143	282
337	143	281
338	144	281
339	144	280
340	144	280
341	145	279
342	145	278
343	145	278
344	146	277
345	146	276
346	146	276
347	147	275
348	147	275
349	147	274
350	148	274
351	148	273
352	148	272
353	149	272
354	149	271
355	149	271
356	150	270
357	150	269
358	150	269
359	151	268
360	151	268
361	151	267
362	152	266
363	152	266
364	152	265
365	153	265
366	153	264
367	154	265
368	155	265
369	155	264
370	155	264
371	156	263
372	156	263
373	156	262
374	157	262
375	157	261
376	157	260
377	158	260
378	158	259
379	158	259
380	159	258
381	159	258
382	159	257
383	160	256
384	160	256
385	160	255
386	161	255
387	161	254
388	161	254
389	162	253
390	162	253
391	162	252
392	163	252
393	163	251
394	163	250
395	164	250
396	164	249
397	164	249
398	165	248
399	165	248
400	165	247
401	165	246
402	166	246
403	166	245
404	166	245
405	167	244
406	167	244
407	167	243
408	168	243
409	168	242
410	168	242
411	169	241
412	169	241
413	169	240
414	170	239
415	170	239
416	170	238
417	171	238
418	171	238
419	172	237
420	172	237
421	172	236
422	173	236
423	173	235
424	173	235
425	174	234
426	174	234
427	174	233
428	175	233
429	175	232
430	175	232
431	176	231
432	176	231
433	176	230
434	177	230
435	177	229
436	177	229
437	178	228
438	178	228
439	178	227
440	179	227
441	179	226
442	179	226
443	180	225
444	180	225
445	180	224
446	181	224
447	181	223
448	181	223
449	182	222
450	182	222
451	182	221
452	183	221
453	183	220
454	183	220
455	184	219
456	184	219
457	184	218
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
